date,platform,type,datetime,title,byline,url,rank
2015-09-21,web,all,2015-09-21T00:00:00-04:00,"Jackie Collins, chronicler of lust and power, dies at 77",Martin Weil,http://www.washingtonpost.com/entertainment/books/jackie-collins-chronicler-of-lust-and-power-dies-at-77/2015/09/20/7a3a852c-5f53-11e5-b38e-06883aacba64_story.html?tid=pm_pop,93
2015-09-21,web,all,2015-09-21T00:00:00-04:00,Bills&#039; Aaron Williams taken to hospital after getting injured making a tackle,Cindy Boren,http://www.washingtonpost.com/news/early-lead/wp/2015/09/20/bills-aaron-williams-taken-to-hospital-after-getting-injured-making-a-tackle/?tid=pm_pop,94
2015-09-21,web,all,2015-09-21T00:00:00-04:00,Pedro Severino gets his first major league hit,James Wagner,http://www.washingtonpost.com/news/nationals-journal/wp/2015/09/20/pedro-severino-gets-his-first-major-league-hit/?tid=pm_pop,95
2015-09-21,web,all,2015-09-21T00:00:00-04:00,The richest places in America all have one thing in common,Emily Badger,http://www.washingtonpost.com/news/wonkblog/wp/2015/09/18/the-richest-places-in-america-all-have-one-thing-in-common/?tid=pm_pop,96
2015-09-21,web,all,2015-09-21T00:00:00-04:00,"After Johnny Manziel beats Titans, it&#039;s time to ride him as Browns&#039; starter",Mark Maske,http://www.washingtonpost.com/news/sports/wp/2015/09/20/after-johnny-manziel-beats-titans-its-time-to-ride-him-as-browns-starter/?tid=pm_pop,97
2015-09-21,web,all,2015-09-21T00:00:00-04:00,Hirshhorn museum director&#039;s husband scrubs her Wikipedia entry of controversy,Emily Heil,http://www.washingtonpost.com/news/reliable-source/wp/2015/09/18/hirshhorn-museum-directors-husband-scrubs-her-wikipedia-entry-of-controversy/?tid=pm_pop,98
2015-09-21,web,all,2015-09-21T00:00:00-04:00,"No, Bernie Sanders is not going to bankrupt America to the tune of $18 trillion",Paul Waldman,http://www.washingtonpost.com/blogs/plum-line/wp/2015/09/15/no-bernie-sanders-is-not-going-to-bankrupt-america-to-the-tune-of-18-trillion/?tid=pm_pop,99
2015-09-21,web,all,2015-09-21T00:00:00-04:00,Political parties go after million-dollar donors in wake of looser rules,Matea Gold,http://www.washingtonpost.com/politics/political-parties-go-after-million-dollar-donors-in-wake-of-looser-rules/2015/09/19/728b43fe-5ede-11e5-8e9e-dce8a2a2a679_story.html?tid=pm_pop,100
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Investigator: Bergdahl left post to expose problems in unit,Juan A. Lozano | AP,http://www.washingtonpost.com/national/health-science/officers-stress-dangers-involved-in-search-for-bowe-bergdahl/2015/09/17/127f1a4a-5da2-11e5-8475-781cc9851652_mobile.html?tid=pm_pop,1
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,&#039;I lost part of my heart&#039;: Beloved White House staffer Jake Brewer mourned,Moriah Balingit,http://www.washingtonpost.com/news/local/wp/2015/09/20/i-lost-part-of-my-heart-beloved-white-house-staffer-jake-brewer-mourned/?tid=pm_pop,2
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Cancer-stricken children, parents ejected from park near White House",Fredrick Kunkle,http://www.washingtonpost.com/local/social-issues/cancer-stricken-children-and-their-parents-ejected-from-park-near-white-house/2015/09/20/416665a4-5fd5-11e5-9757-e49273f05f65_mobile.html?tid=pm_pop,3
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Cyclist, a White House staffer, dies on charity ride after collision with a car",Martin Weil,http://www.washingtonpost.com/local/crime/cyclist-participating-in-charity-ride-dies-in-collision-with-car/2015/09/19/ed04a6ec-5f2f-11e5-9757-e49273f05f65_mobile.html?tid=pm_pop,4
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Native American boy pulled from class over Mohawk haircut,Lindsey Bever,http://www.washingtonpost.com/news/morning-mix/wp/2015/09/19/native-american-boy-pulled-from-class-over-mohawk-haircut/?tid=pm_pop,5
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Tony Romo breaks collarbone; Tom Brady puts NFL on notice; Johnny Manziel gets win - NFL Week 2 scores, analysis",Washington Post,http://www.washingtonpost.com/news/sports/wp/2015/09/20/nfl-week-2-injury-updates-picks-fantasy-football-help-and-more/?tid=pm_pop,6
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Carolyn Hax: Bent out of shape over parents&#039; birthday gift request,Carolyn Hax,http://www.washingtonpost.com/lifestyle/style/carolyn-hax-bent-out-of-shape-over-parents-birthday-gift-request/2015/09/17/71ac67e0-5c01-11e5-b38e-06883aacba64_mobile.html?tid=pm_pop,7
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Mother says her boyfriend was responsible for daughter&#039;s killing,::unspecified::,http://www.washingtonpost.com/national/mother-says-her-boyfriend-was-responsible-for-daughters-killing/2015/09/20/9e7af62c-5fd7-11e5-9757-e49273f05f65_mobile.html?tid=pm_pop,8
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Kerry: US to accept 85,000 refugees in 2016, 100,000 in 2017",Ken Dilanian | AP,http://www.washingtonpost.com/world/europe/kerry-us-to-accept-85000-refugees-in-2016-100000-in-2017/2015/09/20/bcace55e-5fb1-11e5-8475-781cc9851652_mobile.html?tid=pm_pop,9
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Emmy Awards: &#039;Game of Thrones&#039; beats &#039;Mad Men&#039;, Viola Davis becomes first African American to win best actress in drama, Jon Hamm finally wins best actor, &#039;Veep&#039; sweeps",Stephanie Merry,http://www.washingtonpost.com/news/style-blog/wp/2015/09/20/2015-emmy-awards-complete-live-coverage/?tid=pm_pop,10
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Matt Jones and Alfred Morris power Redskins&#039; 24-10 win over the Rams,Liz Clarke,http://www.washingtonpost.com/sports/redskins/matt-jones-and-alfred-morris-power-redskins-24-10-win-over-the-rams/2015/09/20/e267e67e-5fcd-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,11
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,A Redskins win that follows the formula earns Gruden credibility,Mike Jones,http://www.washingtonpost.com/sports/redskins/a-redskins-win-that-follows-the-formula-earns-gruden-credibility/2015/09/20/0a4c046c-5fcf-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,12
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Why I had an abortion after 20 weeks,Rebecca Cohen,http://www.washingtonpost.com/opinions/why-i-had-an-abortion-after-20-weeks/2015/09/20/174495cc-5e2f-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,13
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Pope&#039;s visit will produce largest security operation in U.S. history,David Nakamura,http://www.washingtonpost.com/politics/popes-visit-will-produce-largest-security-operation-in-us-history/2015/09/18/642ca250-5d47-11e5-b38e-06883aacba64_mobile.html?tid=pm_pop,14
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Bernie Sanders knocks Ben Carson for saying he wouldn&#039;t support a Muslim president,John Wagner,http://www.washingtonpost.com/news/post-politics/wp/2015/09/20/bernie-sanders-knocks-ben-carson-for-saying-he-wouldnt-support-a-muslim-president/?tid=pm_pop,15
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Ben Carson says a Muslim shouldn&#039;t be president. Many Americans agree.,Aaron Blake,http://www.washingtonpost.com/news/the-fix/wp/2015/09/20/ben-carson-says-a-muslim-shouldnt-be-president-many-americans-agree/?tid=pm_pop,16
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Disillusioned and self-deluded, Bowe Bergdahl vanished into a brutal captivity",Dan Lamothe,http://www.washingtonpost.com/world/national-security/disillusioned-and-self-deluded-bowe-bergdahl-vanished-into-a-brutal-captivity/2015/09/20/b15a8a8c-5f9b-11e5-b38e-06883aacba64_mobile.html?tid=pm_pop,17
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Pope meets with Fidel Castro, urges Cubans to &#039;serve people,&#039; not ideas",Nick Miroff,http://www.washingtonpost.com/world/pope-celebrates-mass-in-havana-urges-cubans-to-serve-people-not-ideas/2015/09/20/20cd7144-5bf6-11e5-8475-781cc9851652_mobile.html?tid=pm_pop,18
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,White House staffer killed on charity bike ride remembered as &#039;epitome of a public servant&#039;,Peter Holley,http://www.washingtonpost.com/news/local/wp/2015/09/20/white-house-staffer-killed-on-charity-bike-ride-remembered-as-epitome-of-a-public-servant/?tid=pm_pop,19
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,What a difference a debate makes: Carly Fiorina surges into second,Philip Bump,http://www.washingtonpost.com/news/the-fix/wp/2015/09/20/what-a-difference-a-debate-makes-carly-fiorina-surges-into-second/?tid=pm_pop,20
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Jeb Bush calls new TV ad &#039;disgraceful&#039; for attacking his defense of George W. Bush,Ed O&#039;Keefe,http://www.washingtonpost.com/news/post-politics/wp/2015/09/20/jeb-bush-calls-new-tv-ad-disgraceful-for-attacking-his-defense-of-george-w-bush/?tid=pm_pop,21
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"By roughing up the Rams, Washington reveals a blueprint for happy Sundays",Thomas Boswell,http://www.washingtonpost.com/sports/redskins/by-roughing-up-the-rams-washington-reveals-a-blueprint-for-happy-sundays/2015/09/20/e72db8ee-5fe3-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,22
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Democrats have a growing debate problem on their hands,Chris Cillizza,http://www.washingtonpost.com/politics/democrats-have-a-growing-debate-problem-on-their-hands/2015/09/20/e3d8194c-5fc9-11e5-b38e-06883aacba64_mobile.html?tid=pm_pop,23
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Pope Francis&#039; fact-free flamboyance,George F. Will,http://www.washingtonpost.com/opinions/pope-franciss-fact-free-flamboyance/2015/09/18/7d711750-5d6a-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,24
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,What Donald Trump doesn&#039;t understand about calling women beautiful,Danielle Paquette,http://www.washingtonpost.com/news/wonkblog/wp/2015/09/17/what-donald-trump-doesnt-understand-about-calling-women-beautiful/?tid=pm_pop,25
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Vengeful Tom Brady and the Patriots are coming to crush everyone in the NFL,Adam Kilgore,http://www.washingtonpost.com/news/sports/wp/2015/09/20/tom-brady-and-the-patriots-are-coming-to-crush-everyone-in-the-nfl/?tid=pm_pop,26
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Best and worst from the Redskins&#039; Week 2 win over the Rams,Scott Allen,http://www.washingtonpost.com/news/dc-sports-bog/wp/2015/09/20/best-and-worst-from-the-redskins-week-2-win-over-the-rams/?tid=pm_pop,27
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Lessons from a 16-year-old&#039;s &#039;on fleek&#039; life - and her extraordinary death,Petula Dvorak,http://www.washingtonpost.com/local/lessons-from-a-16-year-olds-on-fleek-life--and-her-extraordinary-death/2015/09/14/95e3846c-5afe-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,28
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"A land deal for an elite private school will displace more than 100 sick, poor people",Terrence McCoy,http://www.washingtonpost.com/local/education/a-land-deal-for-an-elite-private-school-will-displace-sick-poor-people/2015/09/20/2c433fda-5e1d-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,29
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Two days later, Sanders draws five times as many people as Clinton to event at same university in N.H.",John Wagner,http://www.washingtonpost.com/news/post-politics/wp/2015/09/20/two-days-later-sanders-draws-five-times-as-many-people-as-clinton-to-event-at-same-university-in-n-h/?tid=pm_pop,30
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Redskins forge an identity behind their backs and a move-the-chains O-line,Jerry Brewer,http://www.washingtonpost.com/sports/redskins/redskins-forge-an-identity-behind-their-backs-and-a-move-the-chains-o-line/2015/09/20/e956089c-5fe3-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,31
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"15,000 more refugees to be resettled in U.S. next year",Carol Morello,http://www.washingtonpost.com/world/15000-more-refugees-to-be-resettled-in-us-next-year/2015/09/20/02565b4e-5e54-11e5-8475-781cc9851652_mobile.html?tid=pm_pop,32
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Donald Trump is now reaping what he has sown,Janell Ross,http://www.washingtonpost.com/news/the-fix/wp/2015/09/19/donald-trump-is-now-reaping-what-he-has-sown/?tid=pm_pop,33
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Nationals hammer Marlins, keep dim playoff hopes alive",James Wagner,http://www.washingtonpost.com/sports/nationals/nationals-hammer-marlins-stay-in-fight-to-remain-relevant/2015/09/20/4ab37f28-5fd7-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,34
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Telling JJ: She&#039;s 10. She has HIV. And she&#039;s about to learn the truth.,John Woodrow Cox,http://www.washingtonpost.com/sf/local/2015/09/18/telling-jj-shes-10-she-has-hiv-this-is-the-moment-she-learns-the-truth/?tid=pm_pop,35
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Man facing $8.7M embezzlement case hid on Appalachian Trail,Dan Sewell | AP,http://www.washingtonpost.com/national/man-facing-87m-embezzlement-case-hid-on-appalachian-trail/2015/09/20/dd65569e-5fae-11e5-8475-781cc9851652_mobile.html?tid=pm_pop,36
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Andy Samberg&#039;s Emmy monologue was actually hilarious. Here are some of the best jokes.,Emily Yahr,http://www.washingtonpost.com/news/style-blog/wp/2015/09/20/andy-sambergs-emmy-monologue-was-actually-hilarious-here-are-some-of-the-best-jokes/?tid=pm_pop,37
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,What to do if you&#039;re 50 and haven&#039;t saved for retirement,Rodney Brooks,http://www.washingtonpost.com/business/get-there/what-to-do-if-youre-50-and-havent-saved-for-retirement/2015/09/18/d78dc196-5b19-11e5-9757-e49273f05f65_mobile.html?tid=pm_pop,38
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Obama has vastly changed the face of the federal bureaucracy,Juliet Eilperin,http://www.washingtonpost.com/politics/obama-has-vastly-changed-the-face-of-the-federal-bureaucracy/2015/09/20/73ef803a-5631-11e5-abe9-27d53f250b11_mobile.html?tid=pm_pop,39
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Pope Francis&#039;s actions speak louder than his words,E.J. Dionne Jr.,http://www.washingtonpost.com/opinions/pope-franciss-actions-speak-louder-than-his-words/2015/09/20/7c1899ac-5fc0-11e5-b38e-06883aacba64_mobile.html?tid=pm_pop,40
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,I have a malignant brain tumor. But it&#039;s not really on my mind.,Whitney Archer,http://www.washingtonpost.com/opinions/i-have-cancer-but-i-sometimes-forget/2015/09/17/244dec30-5bca-11e5-9757-e49273f05f65_mobile.html?tid=pm_pop,41
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Planned Parenthood is a symbol. This is the reality of one Ohio clinic.,Monica Hesse,http://www.washingtonpost.com/lifestyle/style/planned-parenthood-is-a-symbol-this-is-the-reality-of-one-ohio-clinic/2015/09/15/b97c465e-4774-11e5-846d-02792f854297_mobile.html?tid=pm_pop,42
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Jeb Bush responds to Trump: Obama is an &#039;American, he&#039;s a Christian&#039;",Sean Sullivan,http://www.washingtonpost.com/news/post-politics/wp/2015/09/18/jeb-bush-responds-to-trump-obama-is-an-american-hes-a-christian/?tid=pm_pop,43
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Tony Romo suffers broken collarbone against Eagles,Des Bieler,http://www.washingtonpost.com/news/early-lead/wp/2015/09/20/tony-romo-suffers-broken-collarbone-against-eagles/?tid=pm_pop,44
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Why so many parents are freaking out about Common Core math,Valerie Strauss,http://www.washingtonpost.com/blogs/answer-sheet/wp/2014/11/08/why-so-many-parents-are-freaking-out-about-common-core-math/?tid=pm_pop,45
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,The incredible story of how a newborn&#039;s cry may have helped save her mother&#039;s life,Lindsey Bever,http://www.washingtonpost.com/news/to-your-health/wp/2015/09/16/the-incredible-story-of-how-a-newborns-cry-may-have-helped-save-her-mothers-life/?tid=pm_pop,46
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,The bacteria-fighting super element that&#039;s making a comeback in hospitals: copper,Lena H. Sun,http://www.washingtonpost.com/national/health-science/the-bacteria-fighting-super-element-making-a-return-to-hospitals-copper/2015/09/20/19251704-5beb-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,47
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,The stunning - and expanding - gap in life expectancy between the rich and the poor,Max Ehrenfreund,http://www.washingtonpost.com/news/wonkblog/wp/2015/09/18/the-government-is-spending-more-to-help-rich-seniors-than-poor-ones/?tid=pm_pop,48
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,A life sentence for shipping tainted peanuts? Victims&#039; families say yes.,Brady Dennis,http://www.washingtonpost.com/national/health-science/a-life-sentence-for-shipping-tainted-peanuts-victims-families-say-yes/2015/09/19/e844a314-5bf1-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,49
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,Emmy Awards 2015: Full list of winners,::unspecified::,http://www.washingtonpost.com/lifestyle/style/emmy-awards-2015-full-list-of-winners/2015/09/20/b8e02e9c-5ff5-11e5-8e9e-dce8a2a2a679_mobile.html?tid=pm_pop,50
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,These charts show how much of your life you will spend being sick,Rick Noack,http://www.washingtonpost.com/news/worldviews/wp/2015/09/19/these-charts-show-how-much-of-your-life-you-will-spend-being-sick/?tid=pm_pop,51
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Is bigger better? 54,000 students and growing, U. of Central Florida storms higher ed.",Nick anderson,http://www.washingtonpost.com/local/education/with-54000-students-and-growing-u-of-central-florida-storms-higher-ed/2015/09/20/0db73380-4cbd-11e5-bfb9-9736d04fc8e4_mobile.html?tid=pm_pop,52
2015-09-21,mobile,all,2015-09-21T00:00:00-04:00,"Brady throws for 466 yards, leads Patriots past Bills 40-32",John Wawrow | AP,http://www.washingtonpost.com/sports/redskins/brady-throws-for-466-yards-leads-patriots-past-bills-40-32/2015/09/20/a3e4a98a-5fd9-11e5-8475-781cc9851652_mobile.html?tid=pm_pop,53
